686 Закрыто 40702810338000016190_253 1579 Закрыто 40702810338000016190_642
686 Закрыто 40702810338000016190_253 1580 Закрыто 40702810338000016190_643
1588 Перевод собственных средств%внешн%НДС не облагается% 40702810138260110146_29 1589 Перевод собственных средств%внешн%НДС не облагается% 40702810138260110146_30
1595 %Перечисление собственных средств%40702810838000176970%НДС не облагается% 40702810138260110146_31 1596 %Перечисление собственных средств%40702810838000176970%НДС не облагается% 40702810138260110146_32
2127 Свободный номер 40702810338000016190_872 2128 Свободный номер 40702810338000016190_873
2127 Свободный номер 40702810338000016190_872 2129 Свободный номер 40702810338000016190_874
2140 %Перевод собственных средств внешн.%НДС не облагается% 40702810701850000923_32 2141 %Перевод собственных средств внешн.%НДС не облагается% 40702810701850000923_33
1452 %Перевод собственных средств,% 40702810001850000924_01 2145 %Перевод собственных средств,% 40702810001850000924_06
2389 %Перевод%%собственных%%средств%%внеш% 40702810200480044088_01 2390 %Перевод%%собственных%%средств%%внеш% 40702810200480044088_02
2395 %еревод% %руиз контро% 40702810300000232328_05 2396 %еревод% %руиз контро% 40702810300000232328_06
2435 %еревод собственных средств%%внешн% 40702810200480033947_001 2436 %еревод собственных средств%%внешн% 40702810200480033947_002
2432 %Перечисление средств по депозиту% 40702810200480044088_07 2496 %Перечисление средств по депозиту% 40702810200480044088_10
1945 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%056% 40702810103800000578_167 2687 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%056% 40702810103800000578_376
1946 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%056% 40702810103800000578_168 2688 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%056% 40702810103800000578_377
1948 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%086% 40702810103800000578_170 2702 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%086% 40702810103800000578_391
1949 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%086% 40702810103800000578_171 2703 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%086% 40702810103800000578_392
1950 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%086% 40702810103800000578_172 2704 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%086% 40702810103800000578_393
2164 ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ% ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_245 2705 ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ% ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_394
2165 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_246 2706 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_395
2166 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_247 2766 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_396
2167 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_248 2767 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%090% 40702810103800000578_397
1822 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%109% 40702810103800000578_70 2769 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%109% 40702810103800000578_399
